gene,average,median,max,min,growth_correlation
b0038,3.2840225484502663,3.25103013932165,5.39198111206919,1.47104495263898,0.45551863029405104
b0039,4.306167883778577,4.22494445872773,6.5608573684358,2.66610155181968,0.24113714720729798
b0040,1.4159296019792675,1.41950488963794,2.7838664070289,0.0,-0.11586045307916594
b0041,1.6751500532986314,1.70380649102783,3.27713577214448,0.0,-0.20262527208801012
b0042,1.5938373360475948,1.53086523580069,3.35942425507205,0.332106815272756,0.026906361071962634
b0043,1.759245436147714,1.74745307138096,3.75633070670239,0.654023340948781,-0.1558704936805528
b0045,1.3256657680047796,1.27219259833337,2.66764077370575,0.279071501148169,-0.26470383199438174
b0046,4.662582343749444,4.79238280419412,6.2876658247644,2.31349857512531,-0.2620875010763075
b0047,4.917217427899645,4.90566698250418,6.39528812366683,3.52145079584578,-0.23882800622865213
b0048,6.911559834751616,7.00057727292573,8.2501305938155,4.60943844199313,-0.37798620799698723
